ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
440377,OE-VDO,Thales UK,Diamond Aircraft DA62MPP,Civ,Covert,Eye In The Sky,Under Observation
440378,OE-VDP,Thales UK,Diamond Aircraft DA62MPP,Civ,Covert,Eye In The Sky,Under Observation
4404D6,OE-FMF,Thales UK,Diamond Aircraft DA62MPP,Civ,Covert,Eye In The Sky,Under Observation
40665B,G-COBS,Thales UK Ltd,Diamond Aircraft Twin Star DA42MPP,Civ,U Wot m8,,Under Observation
AE4A7E,07-1933,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,How Does It Fly,USAF
AE4ECE,10-1952,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,,USAF
AE4EEA,08-0047,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,,USAF
AE4EEB,09-0042,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,,USAF
AE4EEC,22586,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,,USAF
AE5409,21125,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,,USAF
AE571E,12-1964,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,How Does It Fly,You Came Here In That Thing,USAF
AE640B,07-1933,United States Air Force,Bell/Boeing CV-22B Osprey,Mil,You Came Here In That Thing,How Does It Fly,USAF
AE0816,00-0180,United States Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,USAF
AE117A,02-1108,United States Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,USAF
AE117E,02-1112,United States Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,USAF
AE4F14,10-0220,United States Air Force,Boeing C-17A Globemaster III,Mil,Absolute Unit,Cargo,USAF
AE0433,02-5001,United States Air Force,Boeing C-32B,Mil,Government,,USAF
AE0449,02-4452,United States Air Force,Boeing C-32B,Mil,Government,,USAF
AE04D8,165830,United States Air Force,Boeing C-40A,Mil,Government,,USAF
AE503D,05-0730,United States Air Force,Boeing C-40A,Mil,Government,,USAF
AE115D,01-2015,United States Air Force,Boeing C-40B,Mil,Government,,USAF
ADFEB4,73-1677,United States Air Force,Boeing E4b Nightwatch,Mil,Eye In The Sky,,USAF
AE040D,162782,United States Air Force,Boeing E6B Mercury,Mil,Specialist,Kung Fu Grip,USAF
AE0388,61-0292,United States Air Force,Boeing KC-135R,Mil,Old,Fill Her Up,USAF
AE0669,62-3540,United States Air Force,Boeing KC-135R,Mil,Old,Fill Her Up,USAF
AE01CE,62-4134,United States Air Force,Boeing RC-135W,Mil,Eye In The Sky,,USAF
AE01D2,62-4125,United States Air Force,Boeing RC-135W,Mil,Eye In The Sky,,USAF
AE13E5,62-3582,United States Air Force,Boeing WC-135C,Mil,mmm Neutrons,,USAF
AE4D27,2593893,United States Air Force,Bombardier E-11A,Mil,Quarterback,,USAF
AE0133,97-00102,United States Air Force,Cessna 560 Citation Ultra,Mil,You Aint Seen Me Right,,USAF
AE01B9,84-0083,United States Air Force,Gates C-21A,Mil,Government,Bizjet,USAF
AE0406,99-0402,United States Air Force,Gulfstream Aerospace C-37A,Mil,Government,Bizjet,USAF
AE0978,01-1976,United States Air Force,Gulfstream Aerospace C-37A,Mil,Government,Bizjet,USAF
AE206D,06-0500,United States Air Force,Gulfstream Aerospace C-37B,Mil,Government,Bizjet,USAF
AE0565,85-0008,United States Air Force,Lockheed C-5M Galaxy,Mil,Absolute Unit,Cargo,USAF
AE4E19,1399550,United States Air Force,Lockheed MC-130,Mil,Hiiiiiigh In The Sky,All About That Wingspan,USAF
AE4BE6,1392915,United States Air Force,Lockheed MC-130J,Mil,Eye In The Sky,Chonky Boy,USAF
AE0949,68-10329,United States Air Force,Lockheed U2-S,Mil,Hiiiiiigh In The Sky,All About That Wingspan,USAF
AE094B,68-10336,United States Air Force,Lockheed U2-S,Mil,Hiiiiiigh In The Sky,All About That Wingspan,USAF
AE094C,68-10337,United States Air Force,Lockheed U2-S,Mil,Hiiiiiigh In The Sky,I Thought You Was A Pilot Not An Astronaut,USAF
AE095E,80-1083,United States Air Force,Lockheed U2-S,Mil,Hiiiiiigh In The Sky,I Thought You Was A Pilot Not An Astronaut,USAF
AE0968,80-1094,United States Air Force,Lockheed U2-S,Mil,Hiiiiiigh In The Sky,All About That Wingspan,USAF
AE684E,168850,United States Air Force,Poseiden P8,Mil,Eye In The Sky,,USAF
AE01CA,63-9792,United States Air Force,RC-135V Joint Rivet,Mil,Eye In The Sky,,USAF
AE118A,02-01863,United States Army,Gulfstream Aerospace C-37A,Mil,Bizjet,,USAF
AE1252,165836,United States Navy,Boeing C-40A,Mil,Government,,USAF
AE29FE,166695,United States Navy,Boeing C-40A,Mil,Specialist,,USAF
AE4A60,166696,United States Navy,Boeing C-40A,Mil,Specialist,,USAF
AE5718,168980,United States Navy,Boeing C-40A,Mil,Government,,USAF
AE03DE,164762,United States Navy,Lockheed C-130T Hercules,Mil,Absolute Unit,Cargo,USAF
ADFD6F,900530,United States Navy,Swearingen C-26D Metro,Mil,Eye In The Sky,,USAF
AE04F4,84-0165,US Army,Beechcraft C-12F Huron,Mil,You Aint Seen Me Right,,USAF
AE0402,84-00157,US Army,Beechcraft C-12U-3 Huron,Mil,You Aint Seen Me Right,,USAF
AE04F2,84-00162,US Army,Beechcraft C-12U-3 Huron,Mil,USAF,Not so VIP,USAF
AE04AB,99-00102,US Army,Cessna UC-35A Citation Ultra,Mil,USAF,VIP,USAF
AE0401,84-00156,US Military,Beechcraft C-12U-3 Huron,Mil,You Aint Seen Me Right,,USAF
AE293B,07-8614,US Military,C-130J Super Hercules,Mil,Cargo,Heavy Duty,USAF
AE0136,97-00105,US Military,UC-35A Citation,Mil,USAF,VIP,USAF
43C8EA,ZM516,Defense Helicopter Flying School,Eurocopter EC135,Mil,Choppa,Learner Driver,Watch me fly
43C8F5,ZM527,Defense Helicopter Flying School,Eurocopter EC135,Mil,Choppa,Learner Driver,Watch me fly
43C8E3,ZM509,Defense Helicopter Flying School,Eurocopter EC135-T3,Mil,Choppa,Learner Driver,Watch me fly
40740C,G-ETPE,Empire Test Pilots School,Airbus Helicopters Squirrel AS.350 B3,Civ,Choppa,Learner Driver,Watch me fly
40740D,G-ETPF,Empire Test Pilots School,Airbus Helicopters Squirrel AS.350 B3,Civ,Pass The Sick Bag,,Watch me Fly
4005A9,G-ETPK,Empire Test Pilots School,Avro 146 RJ70,Civ,Learner Driver,,Watch me fly
406CDB,G-ETPM,Empire Test Pilots School,Diamond Aircraft Twin Star DA42M-NG,Civ,Pass The Sick Bag,,Watch me Fly
40738A,G-ETPC,Empire Test Pilots School,Grob G-120 TP-A,Civ,Shiny,Pass The Sick Bag,Watch me Fly
4074C9,G-ETPA,Empire Test Pilots School,Pilatus PC-21,Civ,Learner Driver,,Watch me fly
4074CA,G-ETPB,Empire Test Pilots School,Pilatus PC-21,Civ,Learner Driver,,Watch me fly
40740E,G-ETPG,QinetiQ,Airbus Helicopters Squirrel AS.350 B3,Civ,Choppa,,Watch me Fly
43C8D6,ZM335,Royal Air Force,Embraer Phenom 100,Mil,Do A Barrel Roll,,Watch me fly
43C618,ZZ500,Royal Navy,Hawker Beechcraft Corp King Air Avenger T.1,Mil,Government,,Watch me fly
4066A3,G-KBWP,Private,Schempp-Hirth Arcus T,Civ,Whoosh,Where Is The Engine,Who needs an Engine ?
4038D5,G-BVKU,Private,Slingsby T.61 F Falke Venture T.3,Civ,All About That Wingspan,Whoosh,Who needs an Engine ?
43C6A3,ZK312,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Cool,I Feel The Need....,Zoomies
43C6CB,ZK315,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Fighter,,Zoomies
43C6D4,ZK321,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Chappy,,Zoomies
43C73E,ZJ946,Royal Air Force,Eurofighter Typhoon FGR4,Mil,I Feel The Need....,,Zoomies
43C740,ZK309,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Chappy,,Zoomies
43C799,ZK339,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Fighter,,Zoomies
43C79E,ZK376,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Turn and Burn,,Zoomies
43C7A5,ZK428,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Fighter,,Zoomies
43C7AF,ZK438,Royal Air Force,Eurofighter Typhoon FGR4,Mil,I Feel The Need....,,Zoomies
43CAED,ZK371,Royal Air Force,Eurofighter Typhoon FGR4,Mil,Fighter,,Zoomies
43C811,ZM142,Royal Air Force,F35B Lightning II,Mil,Fighter,Foutje Bedankt,Zoomies
43C818,ZM150,Royal Air Force,F35B Lightning II,Mil,Fighter,Foutje Bedankt,Zoomies
